Region,Department_WOF,Arrondissement_WOF,population_2005,population_2010,population_2015,population_2020,population_2025,Village
ADAMAOUA,DJEREM,DIR,3416,2955,3384,3848,4309,1
ADAMAOUA,DJEREM,GALIM-TIGNÃ¨RE,0,0,0,0,0,3
ADAMAOUA,DJEREM,MARTAP,11046,19110,21882,24892,27874,14
ADAMAOUA,DJEREM,NGAOUNDAL,76272,65996,75600,85988,96292,28
ADAMAOUA,DJEREM,TABATI,0,0,0,0,0,98
ADAMAOUA,DJEREM,TIGNÃ¨RE,0,0,0,0,0,6
ADAMAOUA,FARO-ET-DEO,GALIM-TIGNÃ¨RE,0,0,0,0,0,18
ADAMAOUA,FARO-ET-DEO,KONTCHA,4608,3988,4568,5196,5820,4
ADAMAOUA,FARO-ET-DEO,MARTAP,3156,5460,6252,7112,7964,4
ADAMAOUA,FARO-ET-DEO,MAYO-BALÃ©O,0,0,0,0,0,28
ADAMAOUA,FARO-ET-DEO,TIGNÃ¨RE,0,0,0,0,0,22
ADAMAOUA,MAYO-BANYO,BANKIM,98020,84767,97092,110432,123627,29
ADAMAOUA,MAYO-BANYO,BANYO,140302,121319,138990,158055,176997,41
ADAMAOUA,MAYO-BANYO,GALIM-TIGNÃ¨RE,0,0,0,0,0,4
ADAMAOUA,MAYO-BANYO,MAYO-DARLÃ©,0,0,0,0,0,38
ADAMAOUA,MAYO-BANYO,NGAMBÃ©-TIKAR,0,0,0,0,0,4
ADAMAOUA,MAYO-BANYO,TABATI,0,0,0,0,0,2
ADAMAOUA,MBERE,BÃ©LEL,0,0,0,0,0,56
ADAMAOUA,MBERE,BÃ©TARÃ©-OYA,0,0,0,0,0,5
ADAMAOUA,MBERE,DIR,40992,35460,40608,46176,51708,12
ADAMAOUA,MBERE,DJOHONG,31624,27317,31270,35577,40104,59
ADAMAOUA,MBERE,GAROUA-BOULAÃ¯,0,0,0,0,0,9
ADAMAOUA,MBERE,MEIGANGA,132556,114762,131440,149544,167462,62
ADAMAOUA,MBERE,NGAOUI,36153,31269,35814,40734,45606,3
ADAMAOUA,MBERE,NYAMBAKA,11295,19540,22380,25460,28510,5
ADAMAOUA,VINA,BÃ©LEL,0,0,0,0,0,11
ADAMAOUA,VINA,DIR,3416,2955,3384,3848,4309,1
ADAMAOUA,VINA,MARTAP,22881,39585,45327,51562,57739,29
ADAMAOUA,VINA,MBÃ©,0,0,0,0,0,22
ADAMAOUA,VINA,NGAN'HA,0,0,0,0,0,36
ADAMAOUA,VINA,NGAOUNDAL,2724,2357,2700,3071,3439,1
ADAMAOUA,VINA,NGAOUNDÃ©RÃ© I,0,0,0,0,0,18
ADAMAOUA,VINA,NGAOUNDÃ©RÃ© II,0,0,0,0,0,7
ADAMAOUA,VINA,NGAOUNDÃ©RÃ© III,0,0,0,0,0,16
ADAMAOUA,VINA,NYAMBAKA,31626,54712,62664,71288,79828,14
ADAMAOUA,VINA,TCHOLLIRÃ©,0,0,0,0,0,1
CENTRE,HAUTE-SANAGA,AYOS,10440,9126,10602,12276,14022,18
CENTRE,HAUTE-SANAGA,BIBEY,4290,3769,4394,5105,6185,10
CENTRE,HAUTE-SANAGA,DIANG,9144,7992,9300,10764,12324,12
CENTRE,HAUTE-SANAGA,DOUMAINTANG,3495,3060,3555,4115,4705,5
CENTRE,HAUTE-SANAGA,DOUMÃ©,0,0,0,0,0,4
CENTRE,HAUTE-SANAGA,KOBDOMBO,0,0,0,0,0,1
CENTRE,HAUTE-SANAGA,LEMBE YEZOUM,3360,2955,3435,3990,4575,15
CENTRE,HAUTE-SANAGA,MBANDJOCK,4498,4062,4722,5470,6256,2
CENTRE,HAUTE-SANAGA,MBOMA,9775,8850,10275,11900,13897,25
CENTRE,HAUTE-SANAGA,MINTA,17040,14910,17310,20040,22920,30
CENTRE,HAUTE-SANAGA,NANGA-EBOKO,43946,38398,44676,51757,59203,73
CENTRE,HAUTE-SANAGA,NGUELEMENDOUKA,31512,27534,32019,37050,42393,39
CENTRE,HAUTE-SANAGA,NKOTENG,28032,25404,29492,34164,39128,73
CENTRE,HAUTE-SANAGA,NSEM,9219,8085,9387,10878,12453,21
CENTRE,HAUTE-SANAGA,YOKO,1024,902,1055,1231,1610,4
CENTRE,LEKIE,BATCHENGA,0,0,0,0,0,20
CENTRE,LEKIE,BOKITO,6680,5840,6790,7862,8992,2
CENTRE,LEKIE,BOT-MAKAK,4644,8118,9438,10932,12504,2
CENTRE,LEKIE,EBEBDA,31899,27900,32426,37541,42966,31
CENTRE,LEKIE,EDZENDOUAN,4418,3862,4490,5200,5947,1
CENTRE,LEKIE,ELIG-MFOMO,24156,21087,24552,28446,32538,33
CENTRE,LEKIE,EVODOULA,28248,24684,28710,33231,38016,33
CENTRE,LEKIE,LOBO,4563,3978,4635,5373,6138,9
CENTRE,LEKIE,MBANGASSINA,61530,53780,62510,72390,82790,10
CENTRE,LEKIE,MONATÃ©LÃ©,0,0,0,0,0,29
CENTRE,LEKIE,NGUIBASSAL,70000,61184,71136,82368,94208,16
CENTRE,LEKIE,NTUI,34965,30555,35511,41139,47061,21
CENTRE,LEKIE,NYANON,8176,7147,8316,9625,11011,7
CENTRE,LEKIE,OBALA,117900,103068,119844,138780,158796,36
CENTRE,LEKIE,OKALA,0,0,0,0,0,23
CENTRE,LEKIE,OMBESSA,1666,1457,1694,1962,2245,1
CENTRE,LEKIE,SA'A,79506,69468,80766,93534,106974,42
CENTRE,LEKIE,SOA,11424,9984,11600,13440,15376,8
CENTRE,LEKIE,YAOUNDÃ© I,0,0,0,0,0,3
CENTRE,LEKIE,YAOUNDÃ© II,0,0,0,0,0,1
CENTRE,MBAM-ET-INOUBOU,BAFIA,108660,95000,110440,127880,146260,20
CENTRE,MBAM-ET-INOUBOU,BOKITO,53440,46720,54320,62896,71936,16
CENTRE,MBAM-ET-INOUBOU,DEUK,14300,21570,25070,29040,33210,10
CENTRE,MBAM-ET-INOUBOU,KIIKI,12726,22212,25830,29916,34236,18
CENTRE,MBAM-ET-INOUBOU,KON-YAMBETTA,12976,22656,26336,30496,34896,16
CENTRE,MBAM-ET-INOUBOU,MAKENENE,9279,8109,9426,10914,12483,3
CENTRE,MBAM-ET-INOUBOU,NDIKINIMÃ©KI,0,0,0,0,0,7
CENTRE,MBAM-ET-INOUBOU,NDOM,15453,13518,15705,18189,20799,9
CENTRE,MBAM-ET-INOUBOU,NGAMBÃ©,0,0,0,0,0,4
CENTRE,MBAM-ET-INOUBOU,NGORO,10377,9069,10545,12210,13968,3
CENTRE,MBAM-ET-INOUBOU,NITOUKOU,72180,63100,73360,84950,97170,10
CENTRE,MBAM-ET-INOUBOU,NYANON,4672,4084,4752,5500,6292,4
CENTRE,MBAM-ET-INOUBOU,OMBESSA,36652,32054,37268,43164,49390,22
CENTRE,MBAM-ET-KIM,BIBEY,1716,1504,1748,2024,2316,4
CENTRE,MBAM-ET-KIM,NANGA-EBOKO,602,526,612,709,811,1
CENTRE,MBAM-ET-KIM,NGAMBÃ©-TIKAR,0,0,0,0,0,14
CENTRE,MBAM-ET-KIM,NGORO,10377,9069,10545,12210,13968,3
CENTRE,MBAM-ET-KIM,NKOTENG,768,696,808,936,1072,2
CENTRE,MBAM-ET-KIM,NTUI,3330,2910,3382,3918,4482,2
CENTRE,MBAM-ET-KIM,YOKO,17408,15232,17680,20468,23392,68
CENTRE,MEFOU-ET-AFAMBA,AFANLOUM,21384,18672,21696,25152,28800,24
CENTRE,MEFOU-ET-AFAMBA,AWAÃ©,0,0,0,0,0,37
CENTRE,MEFOU-ET-AFAMBA,DZENG,9360,8190,9542,11050,12610,26
CENTRE,MEFOU-ET-AFAMBA,EDZENDOUAN,61852,54068,62860,72800,83258,14
CENTRE,MEFOU-ET-AFAMBA,ENDOM,1260,1520,1764,2040,2332,4
CENTRE,MEFOU-ET-AFAMBA,ESSE,25146,21978,25575,29601,33891,33
CENTRE,MEFOU-ET-AFAMBA,LEMBE YEZOUM,1120,985,1145,1330,1525,5
CENTRE,MEFOU-ET-AFAMBA,MBANDJOCK,26988,24372,28332,32820,37536,12
CENTRE,MEFOU-ET-AFAMBA,MENGANG,4620,4030,4680,5420,6200,10
CENTRE,MEFOU-ET-AFAMBA,NKOLAFAMBA,11316,9890,11500,13340,15272,23
CENTRE,MEFOU-ET-AFAMBA,NKOTENG,768,696,808,936,1072,2
CENTRE,MEFOU-ET-AFAMBA,OLANGUINA,0,0,0,0,0,18
CENTRE,MEFOU-ET-AFAMBA,SOA,22848,19968,23200,26880,30752,16
CENTRE,MEFOU-ET-AKONO,AKONO,11979,10494,12177,14124,16137,33
CENTRE,MEFOU-ET-AKONO,BIKOK,21952,19348,22512,26096,29820,28
CENTRE,MEFOU-ET-AKONO,BIWONG-BANÃ©,0,0,0,0,0,1
CENTRE,MEFOU-ET-AKONO,BONDJOCK,10794,13584,15792,18294,20928,6
CENTRE,MEFOU-ET-AKONO,LOBO,5070,4420,5150,5970,6820,10
CENTRE,MEFOU-ET-AKONO,MAKAK,18654,16302,18954,21948,25098,6
CENTRE,MEFOU-ET-AKONO,MATOMB,6027,5271,6132,7105,8127,7
CENTRE,MEFOU-ET-AKONO,MBALMAYO,3475,3038,3532,4090,4678,1
CENTRE,MEFOU-ET-AKONO,MBANKOMO,20559,17997,20937,24255,27741,21
CENTRE,MEFOU-ET-AKONO,MFOU,5056,4424,5144,5960,6820,4
CENTRE,MEFOU-ET-AKONO,MVENGUE,5892,5148,5988,6932,7928,4
CENTRE,MEFOU-ET-AKONO,NGOMEDZAP,2366,2392,2782,3224,3666,26
CENTRE,MEFOU-ET-AKONO,NGOUMOU,20801,18166,21111,24428,27931,31
CENTRE,MEFOU-ET-AKONO,YAOUNDÃ© III,0,0,0,0,0,4
CENTRE,MFOUNDI,DZENG,1800,1575,1835,2125,2425,5
CENTRE,MFOUNDI,LOBO,5577,4862,5665,6567,7502,11
CENTRE,MFOUNDI,MBANKOMO,9790,8570,9970,11550,13210,10
CENTRE,MFOUNDI,MFOU,41712,36498,42438,49170,56265,33
CENTRE,MFOUNDI,NKOLAFAMBA,10332,9030,10500,12180,13944,21
CENTRE,MFOUNDI,OKALA,0,0,0,0,0,1
CENTRE,MFOUNDI,SOA,11425,10060,11779,13937,18689,7
CENTRE,MFOUNDI,YAOUNDÃ© I,0,0,0,0,0,13
CENTRE,MFOUNDI,YAOUNDÃ© II,0,0,0,0,0,10
CENTRE,MFOUNDI,YAOUNDÃ© III,0,0,0,0,0,24
CENTRE,MFOUNDI,YAOUNDÃ© IV,0,0,0,0,0,21
CENTRE,MFOUNDI,YAOUNDÃ© V,0,0,0,0,0,18
CENTRE,MFOUNDI,YAOUNDÃ© VI,0,0,0,0,0,6
CENTRE,MFOUNDI,YAOUNDÃ© VII,0,0,0,0,0,10
CENTRE,NYONG-ET-KELLE,BIYOUHA,5070,17670,20535,23775,27195,15
CENTRE,NYONG-ET-KELLE,BONDJOCK,1799,2264,2632,3049,3488,1
CENTRE,NYONG-ET-KELLE,BOT-MAKAK,20898,36531,42471,49194,56268,9
CENTRE,NYONG-ET-KELLE,DIBANG,13536,18560,21568,24960,28528,16
CENTRE,NYONG-ET-KELLE,EFOULAN,2420,4236,4928,5712,6532,4
CENTRE,NYONG-ET-KELLE,LOLODORF,14896,13008,15120,17504,20016,16
CENTRE,NYONG-ET-KELLE,MAKAK,24872,21736,25272,29264,33464,8
CENTRE,NYONG-ET-KELLE,MASSOK,0,0,0,0,0,3
CENTRE,NYONG-ET-KELLE,MATOMB,11193,9789,11388,13195,15093,13
CENTRE,NYONG-ET-KELLE,MESSONDO,12914,11275,13101,15169,17358,11
CENTRE,NYONG-ET-KELLE,MVENGUE,19149,16731,19461,22529,25766,13
CENTRE,NYONG-ET-KELLE,NGOG-MAPUBI,0,0,0,0,0,18
CENTRE,NYONG-ET-KELLE,NYANON,5840,5105,5940,6875,7865,5
CENTRE,NYONG-ET-KELLE,POUMA,4026,3522,4095,4743,5424,3
CENTRE,NYONG-ET-KELLE,ÃSÃ©KA,0,0,0,0,0,11
CENTRE,NYONG-ET-MFOUMOU,ABONG-MBANG,3466,3030,3522,4078,4664,2
CENTRE,NYONG-ET-MFOUMOU,AFANLOUM,5346,4668,5424,6288,7200,6
CENTRE,NYONG-ET-MFOUMOU,AKONOLINGA,7137,24949,28975,33611,38430,61
CENTRE,NYONG-ET-MFOUMOU,ANGOSSAS,0,0,0,0,0,32
CENTRE,NYONG-ET-MFOUMOU,ATOK,0,0,0,0,0,45
CENTRE,NYONG-ET-MFOUMOU,AYOS,23780,20787,24149,27962,31939,41
CENTRE,NYONG-ET-MFOUMOU,BENGBIS,14637,12801,14943,17289,19737,51
CENTRE,NYONG-ET-MFOUMOU,DOUMAINTANG,1398,1224,1422,1646,1882,2
CENTRE,NYONG-ET-MFOUMOU,ENDOM,14490,17480,20286,23460,26818,46
CENTRE,NYONG-ET-MFOUMOU,KOBDOMBO,0,0,0,0,0,16
CENTRE,NYONG-ET-MFOUMOU,LEMBE YEZOUM,6272,5516,6412,7448,8540,28
CENTRE,NYONG-ET-MFOUMOU,MBOMA,2346,2124,2466,2856,3270,6
CENTRE,NYONG-ET-MFOUMOU,MENGANG,7392,6448,7488,8672,9920,16
CENTRE,NYONG-ET-MFOUMOU,MESSAMÃ©NA,0,0,0,0,0,55
CENTRE,NYONG-ET-MFOUMOU,MEYOMESSALA,6468,5652,6564,7596,8688,12
CENTRE,NYONG-ET-MFOUMOU,OLANGUINA,0,0,0,0,0,5
CENTRE,NYONG-ET-MFOUMOU,SOMALOMO,1145,1000,1160,1340,1535,5
CENTRE,NYONG-ET-SO,AKONO,726,636,738,856,978,2
CENTRE,NYONG-ET-SO,AKOÃ©MAN,0,0,0,0,0,30
CENTRE,NYONG-ET-SO,BIKOK,2352,2073,2412,2796,3195,3
CENTRE,NYONG-ET-SO,BIWONG-BANÃ©,0,0,0,0,0,1
CENTRE,NYONG-ET-SO,DZENG,2880,2520,2936,3400,3880,8
CENTRE,NYONG-ET-SO,ENDOM,6300,7600,8820,10200,11660,20
CENTRE,NYONG-ET-SO,MBALMAYO,90350,78988,91832,106340,121628,26
CENTRE,NYONG-ET-SO,MENGUEME,8880,9885,11505,13320,15225,15
CENTRE,NYONG-ET-SO,MEYOMESSALA,8085,7065,8205,9495,10860,15
CENTRE,NYONG-ET-SO,MFOU,8848,7742,9002,10430,11935,7
CENTRE,NYONG-ET-SO,NGOMEDZAP,819,828,963,1116,1269,9
CENTRE,NYONG-ET-SO,NGOULÃ©MAKONG,0,0,0,0,0,6
CENTRE,NYONG-ET-SO,NKOL-MÃ©TET,0,0,0,0,0,31
CENTRE,NYONG-ET-SO,SANGMÃ©LIMA,0,0,0,0,0,12
CENTRE,NYONG-ET-SO,ZOÃ©TÃ©LÃ©,0,0,0,0,0,56
EST,BOUMBA-ET-NGOKO,GARI-GOMBO,0,0,0,0,0,21
EST,BOUMBA-ET-NGOKO,MESSOCK,0,0,0,0,0,3
EST,BOUMBA-ET-NGOKO,MOULOUNDOU,0,0,0,0,0,36
EST,BOUMBA-ET-NGOKO,SALAPOUMBÃ©,0,0,0,0,0,21
EST,BOUMBA-ET-NGOKO,YOKADOUMA,95550,82700,94775,107825,120775,25
EST,HAUT-NYONG,ABONG-MBANG,39859,34477,39514,44942,50347,23
EST,HAUT-NYONG,DOUMAINTANG,6990,6060,6950,7910,8870,10
EST,HAUT-NYONG,DOUMÃ©,0,0,0,0,0,6
EST,HAUT-NYONG,LOMIÃ©,0,0,0,0,0,40
EST,HAUT-NYONG,MESSAMÃ©NA,0,0,0,0,0,15
EST,HAUT-NYONG,MESSOCK,0,0,0,0,0,20
EST,HAUT-NYONG,MINDOUROU,0,0,0,0,0,3
EST,HAUT-NYONG,MINTOM,2040,1764,2020,2296,2572,4
EST,HAUT-NYONG,NGOYLA,6624,5724,6570,7470,8352,18
EST,HAUT-NYONG,NGUÃ©LÃ©BOK,0,0,0,0,0,2
EST,HAUT-NYONG,SOMALOMO,3893,3366,3859,4386,4913,17
EST,KADEI,BATOURI,100096,86695,99358,113122,127887,64
EST,KADEI,BERTOUA I,26076,45128,51712,58830,65882,2
EST,KADEI,BERTOUA II,52152,90246,103416,117648,131748,6
EST,KADEI,DIMAKO,19266,16653,19084,21710,24310,13
EST,KADEI,DOUMÃ©,0,0,0,0,0,1
EST,KADEI,GARI-GOMBO,0,0,0,0,0,14
EST,KADEI,KENTZOU,0,0,0,0,0,36
EST,KADEI,KÃ©TTÃ©,0,0,0,0,0,19
EST,KADEI,MBANG,38290,33145,38010,43225,48405,35
EST,KADEI,MESSOCK,0,0,0,0,0,1
EST,KADEI,NDÃ©LÃ©LÃ©,0,0,0,0,0,41
EST,KADEI,NGOURA,18410,15930,18260,20780,23270,10
EST,KADEI,NGUÃ©LÃ©BOK,0,0,0,0,0,23
EST,KADEI,OULI,0,0,0,0,0,7
EST,LOM-ET-DJEREM,BERTOUA I,52152,90256,103424,117660,131764,4
EST,LOM-ET-DJEREM,BERTOUA II,26076,45123,51708,58824,76853,3
EST,LOM-ET-DJEREM,BIBEY,1287,1110,1269,1443,1617,3
EST,LOM-ET-DJEREM,BÃ©LABO,0,0,0,0,0,30
EST,LOM-ET-DJEREM,BÃ©TARÃ©-OYA,0,0,0,0,0,30
EST,LOM-ET-DJEREM,DIANG,14478,12540,14383,16359,18335,19
EST,LOM-ET-DJEREM,DIR,3416,2956,3388,3854,4315,1
EST,LOM-ET-DJEREM,GAROUA-BOULAÃ¯,0,0,0,0,0,8
EST,LOM-ET-DJEREM,MANDJOU,25544,44216,50672,57640,64560,8
EST,LOM-ET-DJEREM,NGOURA,33138,28816,33198,38202,47482,17
EST,LOM-ET-DJEREM,OULI,0,0,0,0,0,11
EXTREME-NORD,DIAMARE,BOGO,131775,116085,135455,157035,179365,60
EXTREME-NORD,DIAMARE,DARGALA,37125,32715,38160,44235,50535,45
EXTREME-NORD,DIAMARE,GAZAWA,26159,23061,26933,31209,35653,34
EXTREME-NORD,DIAMARE,MAGA,45813,40372,47117,54629,62371,17
EXTREME-NORD,DIAMARE,MAROUA I,197190,347535,405585,470160,536760,45
EXTREME-NORD,DIAMARE,MAROUA II,162739,287286,336898,392588,467576,34
EXTREME-NORD,DIAMARE,MAROUA III,125075,220352,257136,298076,340262,61
EXTREME-NORD,DIAMARE,MERI,129731,114294,133343,154585,176515,43
EXTREME-NORD,DIAMARE,MINDIF,20410,17990,20990,24340,27800,10
EXTREME-NORD,DIAMARE,NDOUKOULA,5848,5160,6024,6984,7968,8
EXTREME-NORD,DIAMARE,PÃ©TTÃ©,0,0,0,0,0,45
EXTREME-NORD,DIAMARE,SOULÃ¨DÃ©-ROUA,0,0,0,0,0,5
EXTREME-NORD,DIAMARE,TOKOMBÃ©RÃ©,0,0,0,0,0,2
EXTREME-NORD,DIAMARE,ZINA,5664,5004,5844,6780,7740,12
EXTREME-NORD,LOGONE-ET-CHARI,BLANGOUA,75318,66422,77462,89788,102544,62
EXTREME-NORD,LOGONE-ET-CHARI,DARAK,35712,31468,36720,42564,48596,4
EXTREME-NORD,LOGONE-ET-CHARI,FOTOKOL,55100,48450,56525,65455,74670,95
EXTREME-NORD,LOGONE-ET-CHARI,GOULFEY,86900,76630,89428,103806,118500,158
EXTREME-NORD,LOGONE-ET-CHARI,HILÃ© - ALIFA,0,0,0,0,0,60
EXTREME-NORD,LOGONE-ET-CHARI,KOUSSÃ©RI,0,0,0,0,0,90
EXTREME-NORD,LOGONE-ET-CHARI,LOGONE-BIRNI,0,0,0,0,0,77
EXTREME-NORD,LOGONE-ET-CHARI,MAKARY,0,0,0,0,0,134
EXTREME-NORD,LOGONE-ET-CHARI,WAZA,13617,12002,14008,16235,18547,17
EXTREME-NORD,LOGONE-ET-CHARI,ZINA,20768,18348,21428,24860,28380,44
EXTREME-NORD,MAYO-DANAY,BOGO,10542,9287,10837,12563,14348,5
EXTREME-NORD,MAYO-DANAY,DARGALA,550,485,566,657,750,1
EXTREME-NORD,MAYO-DANAY,DATCHÃ©KA,0,0,0,0,0,13
EXTREME-NORD,MAYO-DANAY,GOBO,79375,69925,81600,94575,107975,25
EXTREME-NORD,MAYO-DANAY,GUÃ©MÃ©,0,0,0,0,0,21
EXTREME-NORD,MAYO-DANAY,GUÃ©RÃ©,0,0,0,0,0,26
EXTREME-NORD,MAYO-DANAY,KAI-KAI,82742,72908,85074,98626,112618,22
EXTREME-NORD,MAYO-DANAY,KALFOU,39160,34518,40282,46684,53284,22
EXTREME-NORD,MAYO-DANAY,KAR-HAY,0,0,0,0,0,22
EXTREME-NORD,MAYO-DANAY,MAGA,81345,71688,83665,97005,110751,29
EXTREME-NORD,MAYO-DANAY,MOULVOUDAYE,82806,75221,87801,101750,116143,37
EXTREME-NORD,MAYO-DANAY,TCHATIBALI,23950,21105,24630,28555,32595,5
EXTREME-NORD,MAYO-DANAY,TOULOUM,0,0,0,0,0,25
EXTREME-NORD,MAYO-DANAY,WINA,45878,40432,47194,54712,62468,14
EXTREME-NORD,MAYO-DANAY,YAGOUA,137440,121100,141320,163820,187020,20
EXTREME-NORD,MAYO-DANAY,ZINA,10384,9174,10714,12430,14190,22
EXTREME-NORD,MAYO-KANI,DARGALA,11826,10541,12447,14618,18466,14
EXTREME-NORD,MAYO-KANI,DZIGUILAO,0,0,0,0,0,17
EXTREME-NORD,MAYO-KANI,FIGUIL,4596,4053,4731,5484,6261,3
EXTREME-NORD,MAYO-KANI,GUIDIGUIS,65196,57456,67032,77688,88704,36
EXTREME-NORD,MAYO-KANI,KAÃ©LÃ©,0,0,0,0,0,68
EXTREME-NORD,MAYO-KANI,MAROUA I,4382,7723,9013,10448,11928,1
EXTREME-NORD,MAYO-KANI,MINDIF,55107,48573,56673,65718,75060,27
EXTREME-NORD,MAYO-KANI,MOULVOUDAYE,40284,36594,42714,49500,56502,18
EXTREME-NORD,MAYO-KANI,MOUTOURWA,27690,24390,28470,33000,37680,30
EXTREME-NORD,MAYO-KANI,NDOUKOULA,2193,1935,2259,2619,2988,3
EXTREME-NORD,MAYO-KANI,TCHATIBALI,23950,21105,24630,28555,32595,5
EXTREME-NORD,MAYO-KANI,TOULOUM,0,0,0,0,0,25
EXTREME-NORD,MAYO-SAVA,KOLOFATA,116343,102579,119691,138756,158472,93
EXTREME-NORD,MAYO-SAVA,KOZA,53872,47488,55440,64288,73360,112
EXTREME-NORD,MAYO-SAVA,MAROUA III,4264,7512,8766,10162,11600,2
EXTREME-NORD,MAYO-SAVA,MORA,268603,236644,276174,320193,365552,67
EXTREME-NORD,MAYO-SAVA,MOZOGO,0,0,0,0,0,53
EXTREME-NORD,MAYO-SAVA,PÃ©TTÃ©,0,0,0,0,0,25
EXTREME-NORD,MAYO-SAVA,SOULÃ¨DÃ©-ROUA,0,0,0,0,0,50
EXTREME-NORD,MAYO-SAVA,TOKOMBÃ©RÃ©,0,0,0,0,0,72
EXTREME-NORD,MAYO-SAVA,WAZA,8811,7766,9064,10505,12001,11
EXTREME-NORD,MAYO-SAVA,ZINA,1416,1251,1461,1695,1935,3
EXTREME-NORD,MAYO-TSANAGA,BOURHA,85358,75264,87808,101773,116179,49
EXTREME-NORD,MAYO-TSANAGA,GAZAWA,14763,13015,15200,17613,20121,19
EXTREME-NORD,MAYO-TSANAGA,HINA,46214,40733,47485,55014,62821,72
EXTREME-NORD,MAYO-TSANAGA,KOZA,67340,59360,69300,80360,91700,140
EXTREME-NORD,MAYO-TSANAGA,MOGODÃ©,0,0,0,0,0,69
EXTREME-NORD,MAYO-TSANAGA,MOKOLO,362080,319175,372875,432803,500503,155
EXTREME-NORD,MAYO-TSANAGA,MOZOGO,0,0,0,0,0,3
EXTREME-NORD,MAYO-TSANAGA,NDOUKOULA,37768,33325,38906,45106,51462,52
EXTREME-NORD,MAYO-TSANAGA,SOULÃ¨DÃ©-ROUA,0,0,0,0,0,83
LITTORAL,MOUNGO,BONALÃ©A,0,0,0,0,0,13
LITTORAL,MOUNGO,EBONE,0,0,0,0,0,18
LITTORAL,MOUNGO,KUMBA II,5638,9802,11341,13076,14898,1
LITTORAL,MOUNGO,LOUM,57288,54880,63476,73192,83412,28
LITTORAL,MOUNGO,MANJO,43824,38088,44088,50832,57912,24
