Region,Department_WOF,Arrondissement_WOF,population_2005,population_2010,population_2015,population_2020,population_2025,Village
LITTORAL,MOUNGO,MBANGA,19355,16825,19470,22450,25575,5
LITTORAL,MOUNGO,MOMBO,5508,4800,5556,6408,7308,12
LITTORAL,MOUNGO,NKONGSAMBA II,12336,21450,24818,28616,32606,2
LITTORAL,MOUNGO,NKONGSAMBA III,11800,20512,23736,27360,31176,8
LITTORAL,MOUNGO,PENJA,0,0,0,0,0,13
LITTORAL,MOUNGO,TOMBEL,63912,55536,64248,74088,84432,24
LITTORAL,MOUNGO,YABASSI,4191,3652,4224,4862,5544,11
LITTORAL,NKAM,EBONE,0,0,0,0,0,1
LITTORAL,NKAM,LOUM,2046,1960,2267,2614,2979,1
LITTORAL,NKAM,NGAMBÃ©,0,0,0,0,0,4
LITTORAL,NKAM,NKONDJOCK,23436,20376,23571,27180,30969,9
LITTORAL,NKAM,YABASSI,15240,13280,15360,17680,20412,40
LITTORAL,NKAM,YINGUI,3247,2839,3281,3791,4318,17
LITTORAL,SANAGA-MARITIME,DIBAMBA,6560,11412,13202,15212,17331,14
LITTORAL,SANAGA-MARITIME,DIZANGUÃ©,0,0,0,0,0,16
LITTORAL,SANAGA-MARITIME,DOUALA VI,2810,4880,5650,6520,7430,10
LITTORAL,SANAGA-MARITIME,LOKOUNDJÃ©,0,0,0,0,0,3
LITTORAL,SANAGA-MARITIME,MASSOK,0,0,0,0,0,14
LITTORAL,SANAGA-MARITIME,MESSONDO,8218,7147,8274,9541,10871,7
LITTORAL,SANAGA-MARITIME,MOUANKO,13724,11972,13870,15987,18250,73
LITTORAL,SANAGA-MARITIME,NGAMBÃ©,0,0,0,0,0,5
LITTORAL,SANAGA-MARITIME,NGWEI,7240,12580,14560,16780,19100,20
LITTORAL,SANAGA-MARITIME,POUMA,16104,13992,16200,18684,21276,12
LITTORAL,SANAGA-MARITIME,YINGUI,191,167,193,223,254,1
LITTORAL,SANAGA-MARITIME,ÃDÃ©A I,0,0,0,0,0,27
LITTORAL,SANAGA-MARITIME,ÃDÃ©A II,0,0,0,0,0,12
LITTORAL,WOURI,BONALÃ©A,0,0,0,0,0,28
LITTORAL,WOURI,DIBAMBA,1440,2505,2898,3339,3804,3
LITTORAL,WOURI,DIBOMBARI,24912,21660,25052,28870,32898,36
LITTORAL,WOURI,DIZANGUÃ©,0,0,0,0,0,6
LITTORAL,WOURI,DOUALA I,333528,579904,670904,773600,881456,8
LITTORAL,WOURI,DOUALA II,390594,679134,785718,905982,1032300,6
LITTORAL,WOURI,DOUALA III,965756,1679200,1942734,2240092,2552416,16
LITTORAL,WOURI,DOUALA IV,374493,651147,753354,868686,989793,21
LITTORAL,WOURI,DOUALA V,814206,1415683,1637843,1888546,2151869,31
LITTORAL,WOURI,DOUALA VI,5339,9272,10735,12388,14117,19
LITTORAL,WOURI,MBANGA,3871,3365,3894,4490,5115,1
LITTORAL,WOURI,TIKO,70465,61788,71491,82435,93924,13
NORD,BENOUE,BASCHÃ©O,0,0,0,0,0,8
NORD,BENOUE,BIBEMI,14667,12866,14902,17162,19310,123
NORD,BENOUE,DEMBO,4866,4265,4935,5700,6466,14
NORD,BENOUE,GACHIGA,0,0,0,0,0,40
NORD,BENOUE,GAROUA I,179666,315874,369924,430774,532568,32
NORD,BENOUE,GAROUA II,176098,308479,357642,411937,467378,29
NORD,BENOUE,GAROUA III,40708,71264,82598,95156,107942,46
NORD,BENOUE,LAGDO,10034,15370,17806,20474,23258,58
NORD,BENOUE,MAYO-HOURNA,0,0,0,0,0,30
NORD,BENOUE,NGONG,0,0,0,0,0,9
NORD,BENOUE,PITOA,79309,69492,80549,92742,105194,52
NORD,BENOUE,REY-BOUBA,77919,68172,79059,91086,103341,57
NORD,BENOUE,TOUROUA,31244,27408,31764,36604,41540,32
NORD,FARO,BÃ©KA,0,0,0,0,0,45
NORD,FARO,KONTCHA,5760,5045,5850,6735,7640,5
NORD,FARO,LAGDO,11072,16960,19648,22592,25664,64
NORD,FARO,MBÃ©,0,0,0,0,0,30
NORD,FARO,NGONG,0,0,0,0,0,22
NORD,FARO,POLI,56544,49362,57114,65778,74670,114
NORD,FARO,TCHOLLIRÃ©,0,0,0,0,0,3
NORD,FARO,TOUROUA,29551,25926,30044,34626,39295,29
NORD,MAYO-LOUTI,BASCHÃ©O,0,0,0,0,0,91
NORD,MAYO-LOUTI,BIBEMI,5412,4752,5500,6336,7128,44
NORD,MAYO-LOUTI,BOURHA,47033,41316,48163,55855,66828,26
NORD,MAYO-LOUTI,DEMBO,18750,16433,19014,21963,24913,53
NORD,MAYO-LOUTI,FIGUIL,97026,84992,98544,113554,128880,64
NORD,MAYO-LOUTI,GUIDER,333918,292389,339024,390507,444731,132
NORD,MAYO-LOUTI,HINA,19053,16704,19372,22330,25346,29
NORD,MAYO-LOUTI,MAYO-OULO,0,0,0,0,0,121
NORD,MAYO-LOUTI,MOUTOURWA,32305,28315,32830,37800,42875,35
NORD,MAYO-LOUTI,NDOUKOULA,2193,1923,2232,2574,2919,3
NORD,MAYO-LOUTI,PITOA,35305,30935,35857,41285,46828,23
NORD,MAYO-REY,BÃ©LEL,0,0,0,0,0,4
NORD,MAYO-REY,DJOHONG,4824,4230,4905,5661,6417,9
NORD,MAYO-REY,LAGDO,173,265,307,353,401,1
NORD,MAYO-REY,MADINGRING,85680,75040,86968,100128,113568,56
NORD,MAYO-REY,MBÃ©,0,0,0,0,0,1
NORD,MAYO-REY,NGAN'HA,0,0,0,0,0,3
NORD,MAYO-REY,REY-BOUBA,95690,83720,97090,111860,126910,70
NORD,MAYO-REY,TCHOLLIRÃ©,0,0,0,0,0,54
NORD,MAYO-REY,TOUBORO,230575,202055,234255,269790,307345,115
NORD-OUEST,BOYO,BELO,60896,53192,61620,70964,80536,4
NORD-OUEST,BOYO,ELAK,0,0,0,0,0,3
NORD-OUEST,BOYO,FONFUKA,0,0,0,0,0,12
NORD-OUEST,BOYO,FUNDONG,68475,59807,69289,79794,90552,11
NORD-OUEST,BOYO,NJINIKOM,15288,13352,15464,17808,20208,4
NORD-OUEST,BOYO,NKOR,0,0,0,0,0,2
NORD-OUEST,BOYO,WUM,9736,8506,9854,11348,12878,2
NORD-OUEST,BUI,BANKIM,6760,5904,6840,7876,8938,2
NORD-OUEST,BUI,JAKIRI,56204,49096,56876,65496,74336,4
NORD-OUEST,BUI,KUMBO,124731,121485,140736,162072,183939,3
NORD-OUEST,BUI,MAGBA,37584,32844,38052,43824,49752,12
NORD-OUEST,BUI,MBIAME,0,0,0,0,0,1
NORD-OUEST,BUI,NDU,73670,64356,74554,85858,97442,2
NORD-OUEST,BUI,NJIMOM,943,1646,1907,2196,2493,1
NORD-OUEST,BUI,NKOR,0,0,0,0,0,1
NORD-OUEST,BUI,NKUM,65832,115020,133244,153444,174152,4
NORD-OUEST,BUI,NWA,17421,15218,17629,20302,23042,1
NORD-OUEST,DONGA-MANTUNG,AKO,60288,52688,61040,70304,79792,16
NORD-OUEST,DONGA-MANTUNG,FONFUKA,0,0,0,0,0,1
NORD-OUEST,DONGA-MANTUNG,MISAJE,33825,29557,34243,39435,44759,11
NORD-OUEST,DONGA-MANTUNG,NDU,36835,32178,37277,42929,48721,1
NORD-OUEST,DONGA-MANTUNG,NKAMBE,94185,82271,95305,109760,124572,7
NORD-OUEST,DONGA-MANTUNG,NWA,87105,76090,88145,101510,115210,5
NORD-OUEST,MENCHUM,BENAKUMA,0,0,0,0,0,51
NORD-OUEST,MENCHUM,FONFUKA,0,0,0,0,0,4
NORD-OUEST,MENCHUM,FURU-AWA,20904,18264,21156,24372,27660,12
NORD-OUEST,MENCHUM,WUM,38944,34024,39416,45392,51512,8
NORD-OUEST,MENCHUM,ZHOA,0,0,0,0,0,19
NORD-OUEST,MEZAM,BAFUT,55076,48111,55741,64190,72856,7
NORD-OUEST,MEZAM,BALI,27225,23790,27570,31740,36015,15
NORD-OUEST,MEZAM,BAMENDA I,0,0,0,0,0,8
NORD-OUEST,MEZAM,BAMENDA II,0,0,0,0,0,19
NORD-OUEST,MEZAM,BAMENDA III,0,0,0,0,0,6
NORD-OUEST,MEZAM,MBENGWI,15729,13741,15918,18333,20811,7
NORD-OUEST,MEZAM,NJINIKOM,15288,13352,15464,17808,20208,4
NORD-OUEST,MEZAM,SANTA,56389,49283,57086,65756,74630,17
NORD-OUEST,MEZAM,TUBAH,19090,16675,19320,22250,25255,5
NORD-OUEST,MEZAM,WUM,9736,8506,9854,11348,12878,2
NORD-OUEST,MOMO,AKWAYA,69216,60480,70080,80688,92537,48
NORD-OUEST,MOMO,ANDEK,0,0,0,0,0,27
NORD-OUEST,MOMO,BAFUT,31472,27492,31852,36680,41632,4
NORD-OUEST,MOMO,BALI,9075,7930,9190,10580,12005,5
NORD-OUEST,MOMO,BATIBO,51646,45105,52235,60140,68293,31
NORD-OUEST,MOMO,BENAKUMA,0,0,0,0,0,7
NORD-OUEST,MOMO,MBENGWI,31458,27482,31836,36666,41622,14
NORD-OUEST,MOMO,NIJKWA,0,0,0,0,0,46
NORD-OUEST,MOMO,TINTO,0,0,0,0,0,1
NORD-OUEST,MOMO,WIDIKUM-BOFFÃ©,0,0,0,0,0,40
NORD-OUEST,NGO-KETUNJIA,BABESSI,73513,64229,74404,85679,97240,11
NORD-OUEST,NGO-KETUNJIA,BALIKUMBAT,73358,64070,74218,85441,98091,43
NORD-OUEST,NGO-KETUNJIA,BANGOURAIN,29486,25783,29854,34385,39008,23
NORD-OUEST,NGO-KETUNJIA,ELAK,0,0,0,0,0,1
NORD-OUEST,NGO-KETUNJIA,GALIM,5864,5124,5936,6836,7756,4
NORD-OUEST,NGO-KETUNJIA,JAKIRI,14051,12274,14219,16374,18584,1
NORD-OUEST,NGO-KETUNJIA,KOUOPTAMO,18126,15804,18306,21078,23922,18
NORD-OUEST,NGO-KETUNJIA,KOUTABA,1910,1666,1928,2220,2518,2
NORD-OUEST,NGO-KETUNJIA,NDOP,104010,90870,105270,121200,137550,30
NORD-OUEST,NGO-KETUNJIA,TUBAH,53452,46690,54096,62300,70714,14
OUEST,BAMBOUTOS,BABADJOU,52800,45848,52844,60544,68420,44
OUEST,BAMBOUTOS,BAFOUSSAM III,1567,2722,3137,3595,4063,1
OUEST,BAMBOUTOS,BALIKUMBAT,29002,25177,29019,33252,37570,17
OUEST,BAMBOUTOS,BAMENDA I,0,0,0,0,0,2
OUEST,BAMBOUTOS,BATCHAM,84194,73186,84366,96664,109134,86
OUEST,BAMBOUTOS,GALIM,57174,49608,57174,65520,74022,39
OUEST,BAMBOUTOS,MBOUDA,165711,143871,165802,190008,214669,91
OUEST,BAMBOUTOS,PENKA-MICHEL,5964,5178,5964,6840,7734,6
OUEST,BAMBOUTOS,SANTA,33170,28810,33190,38040,42980,10
OUEST,HAUT-NKAM,BAFANG,44564,38714,44616,51129,57772,13
OUEST,HAUT-NKAM,BAKOU,7845,6810,7845,8985,10140,15
OUEST,HAUT-NKAM,BANA,15320,13300,15320,17550,19840,10
OUEST,HAUT-NKAM,BANDJA,20722,17992,20735,23764,26858,13
OUEST,HAUT-NKAM,BANKA,37796,32824,37818,43340,48972,22
OUEST,HAUT-NKAM,BANWA,17475,15180,17490,20040,22650,15
OUEST,HAUT-NKAM,BARÃ©,0,0,0,0,0,16
OUEST,HAUT-NKAM,FOKOUÃ©,0,0,0,0,0,3
OUEST,HAUT-NKAM,KÃ©KEM,0,0,0,0,0,18
OUEST,HAUT-NKAM,MÃ©LONG,0,0,0,0,0,9
OUEST,HAUT-NKAM,NDOBIAN,0,0,0,0,0,14
OUEST,HAUT-NKAM,NKONDJOCK,2604,2261,2606,2987,3374,1
OUEST,HAUT-NKAM,NKONGSAMBA I,78346,136069,156801,179701,203068,1
OUEST,HAUT-NKAM,NKONGSAMBA II,37008,64272,74064,84876,95910,6
OUEST,HAUTS-PLATEAUX,BAFOUSSAM III,10969,19054,21959,25165,28441,7
OUEST,HAUTS-PLATEAUX,BAHAM,23055,20039,23113,26506,29957,29
OUEST,HAUTS-PLATEAUX,BAMENDJOU,51246,44496,51300,58806,66420,54
OUEST,HAUTS-PLATEAUX,BANDJA,22316,19376,22330,25592,28924,14
OUEST,HAUTS-PLATEAUX,BANGOU,23562,20434,23562,26996,30532,34
OUEST,HAUTS-PLATEAUX,BATIÃ©,0,0,0,0,0,17
OUEST,HAUTS-PLATEAUX,BAYANGAM,1071,927,1068,1224,1383,3
OUEST,HAUTS-PLATEAUX,PENKA-MICHEL,15904,13808,15904,18240,20624,16
OUEST,HAUTS-PLATEAUX,PETE-BANDJOUN,0,0,0,0,0,7
OUEST,KOUNG-KHI,BAFOUSSAM I,15072,26176,30164,34568,43946,4
OUEST,KOUNG-KHI,BAHAM,6360,5528,6376,7312,8264,8
OUEST,KOUNG-KHI,BAYANGAM,15708,13596,15664,17952,20284,44
OUEST,KOUNG-KHI,DEMDING,0,0,0,0,0,20
OUEST,KOUNG-KHI,FOUMBOT,26896,23360,26920,30856,34872,8
OUEST,KOUNG-KHI,PETE-BANDJOUN,0,0,0,0,0,37
OUEST,MENOUA,BANDJA,3188,2768,3190,3656,4132,2
OUEST,MENOUA,BATCHAM,40139,34891,40221,46084,52029,41
OUEST,MENOUA,DSCHANG,151455,131445,151455,173535,196098,69
OUEST,MENOUA,FOKOUÃ©,0,0,0,0,0,53
OUEST,MENOUA,FONGO-TONGO,0,0,0,0,0,9
OUEST,MENOUA,MENJI,0,0,0,0,0,8
OUEST,MENOUA,MÃ©LONG,0,0,0,0,0,1
OUEST,MENOUA,NKONG-ZEM,0,0,0,0,0,117
OUEST,MENOUA,PENKA-MICHEL,70574,61273,70574,80940,91519,71
OUEST,MENOUA,SANTCHOU,0,0,0,0,0,20
OUEST,MIFI,BAFOUSSAM I,131880,229040,263935,302470,341810,35
OUEST,MIFI,BAFOUSSAM II,181230,314790,362760,415710,469770,30
OUEST,MIFI,BAFOUSSAM III,109690,190540,219590,251650,286441,70
OUEST,MIFI,FOUMBOT,67240,58400,67300,77140,87180,20
OUEST,MIFI,GALIM,13194,11448,13194,15120,17082,9
OUEST,MIFI,KOUOPTAMO,54715,47492,54772,62812,70964,55
OUEST,MIFI,KOUTABA,5730,4980,5742,6576,7422,6
OUEST,MIFI,MBOUDA,14568,12648,14576,16704,18872,8
OUEST,MIFI,PENKA-MICHEL,4970,4315,4970,5700,6445,5
OUEST,MIFI,PETE-BANDJOUN,0,0,0,0,0,5
OUEST,NDE,BANGANGTÃ©,0,0,0,0,0,36
OUEST,NDE,BASSAMBA,4172,4228,4872,5572,6300,28
OUEST,NDE,BAYANGAM,3213,2781,3204,3672,4149,9
OUEST,NDE,BAZOU,22274,19350,22274,25499,28810,43
OUEST,NDE,FOUMBOT,3362,2920,3365,3857,4359,1
OUEST,NDE,MAKENENE,15465,13425,15475,17735,20040,5
OUEST,NDE,MASSANGAM,15290,13277,15312,17556,19833,11
OUEST,NDE,NDIKINIMÃ©KI,0,0,0,0,0,2
OUEST,NDE,NDOBIAN,0,0,0,0,0,9
OUEST,NDE,TONGA,20214,17556,20226,23178,26196,6
OUEST,NOUN,BANGOURAIN,16666,14495,16705,19149,21632,13
OUEST,NOUN,DEUK,2860,4284,4938,5660,6394,2
OUEST,NOUN,FOUMBAN,158818,137878,158819,181938,206668,104
OUEST,NOUN,FOUMBOT,16810,14600,16825,19285,21795,5
OUEST,NOUN,KOUTABA,65895,57270,66033,75624,85353,69
OUEST,NOUN,MAGBA,15660,13600,15675,17965,20300,5
OUEST,NOUN,MALENTOUEN,67431,58558,67488,77349,87400,19
OUEST,NOUN,MASSANGAM,42626,37016,42688,48943,55292,31
OUEST,NOUN,NGAMBÃ©-TIKAR,0,0,0,0,0,2
OUEST,NOUN,NJIMOM,34891,60569,69819,80031,90428,37
SUD,DJA-ET-LOBO,BENGBIS,4879,4216,4811,5440,6086,17
SUD,DJA-ET-LOBO,DJOUM,26955,23175,26460,29970,33435,45
SUD,DJA-ET-LOBO,MEYOMESSALA,32340,27780,31680,35880,40140,60
SUD,DJA-ET-LOBO,MEYOMESSI,13797,23760,27108,30726,34263,27
SUD,DJA-ET-LOBO,MINTOM,7140,6146,7000,7924,8834,14
SUD,DJA-ET-LOBO,MVANGAN,2364,2526,2880,3264,3648,6
SUD,DJA-ET-LOBO,OVENG,8964,7722,8802,9963,11097,27
SUD,DJA-ET-LOBO,SANGMÃ©LIMA,0,0,0,0,0,11
SUD,DJA-ET-LOBO,SOMALOMO,2290,1970,2240,2530,2820,10
SUD,MVILA,AMBAM,20102,17328,19779,22420,25004,19
SUD,MVILA,BIWONG-BANÃ©,0,0,0,0,0,40
SUD,MVILA,BIWONG-BULU,19264,33152,37800,42840,47824,56
SUD,MVILA,EBOLOWA I,23804,40986,46772,52998,59136,22
SUD,MVILA,EBOLOWA II,70590,121680,138840,157300,175630,65
SUD,MVILA,EFOULAN,3025,5210,5945,6735,7515,5
SUD,MVILA,KYÃ©-OSSI,0,0,0,0,0,8
SUD,MVILA,MENGONG,25748,22181,25297,28659,31980,41
SUD,MVILA,MENGUEME,2368,2592,2956,3352,3744,4
SUD,MVILA,MVANGAN,21670,23155,26400,29920,33440,55
SUD,MVILA,MVENGUE,1473,1269,1448,1641,1831,1
SUD,MVILA,NGOULÃ©MAKONG,0,0,0,0,0,33
SUD,MVILA,SANGMÃ©LIMA,0,0,0,0,0,51
SUD,OCEAN,AKOM II,13140,11320,12900,14620,16320,20
SUD,OCEAN,BIPINDI,21080,18156,20723,23511,26248,17
SUD,OCEAN,CAMPO,10140,8700,9960,11280,12540,60
SUD,OCEAN,EBOLOWA I,1082,1863,2126,2409,2688,1
SUD,OCEAN,EFOULAN,7865,13546,15457,17511,19539,13
SUD,OCEAN,KRIBI I,44640,76890,87690,99390,110940,30
SUD,OCEAN,KRIBI II,60788,104706,119462,135408,151144,14
SUD,OCEAN,LOKOUNDJÃ©,0,0,0,0,0,13
SUD,OCEAN,LOLODORF,6517,5607,6398,7245,8085,7
SUD,OCEAN,MA'AN,2440,2112,2408,2728,3048,8
SUD,OCEAN,NIÃ©TÃ©,0,0,0,0,0,18
SUD,OCEAN,ÃDÃ©A I,0,0,0,0,0,2
SUD,VALLEE-DU-NTEM,AMBAM,41262,35568,40599,46020,51324,39
SUD,VALLEE-DU-NTEM,CAMPO,169,145,166,188,209,1
SUD,VALLEE-DU-NTEM,EBOLOWA I,35706,61479,70158,79497,88704,33
SUD,VALLEE-DU-NTEM,EBOLOWA II,13032,22464,25632,29040,32424,12
SUD,VALLEE-DU-NTEM,KYÃ©-OSSI,0,0,0,0,0,53
SUD,VALLEE-DU-NTEM,MA'AN,16165,13992,15953,18073,20193,53
SUD,VALLEE-DU-NTEM,OLAMZÃ©,0,0,0,0,0,31
SUD-OUEST,FAKO,BAMUSSO,12166,10560,12155,13926,15730,11
SUD-OUEST,FAKO,BUEA,196239,170205,195936,224405,258063,28
SUD-OUEST,FAKO,DIBOMBARI,705,612,704,806,911,1
SUD-OUEST,FAKO,IDENAU,0,0,0,0,0,12
SUD-OUEST,FAKO,LIMBÃ© I,0,0,0,0,0,9
SUD-OUEST,FAKO,LIMBÃ© II,0,0,0,0,0,14
SUD-OUEST,FAKO,LIMBÃ© III,0,0,0,0,0,12
SUD-OUEST,FAKO,MBANGA,6453,5599,6446,7383,8340,2
SUD-OUEST,FAKO,MBONGE,65496,56808,65400,74904,84624,12
SUD-OUEST,FAKO,MUYUKA,128912,111832,128772,147476,166600,28
SUD-OUEST,FAKO,TIKO,105697,92492,106476,121961,137750,19
SUD-OUEST,KUPE-MANENGUBA,BANGEM,31970,27738,31970,36570,41308,46
SUD-OUEST,KUPE-MANENGUBA,KONYE,30602,26532,30558,35002,39534,22
SUD-OUEST,KUPE-MANENGUBA,MAMFE,0,0,0,0,0,3
SUD-OUEST,KUPE-MANENGUBA,MANJO,7304,6336,7292,8352,9432,4
SUD-OUEST,KUPE-MANENGUBA,MENJI,0,0,0,0,0,5
SUD-OUEST,KUPE-MANENGUBA,MÃ©LONG,0,0,0,0,0,21
SUD-OUEST,KUPE-MANENGUBA,NGUTI,40546,35226,40584,46474,52516,38
SUD-OUEST,KUPE-MANENGUBA,NKONGSAMBA II,6168,10702,12321,14112,15941,1
SUD-OUEST,KUPE-MANENGUBA,NKONGSAMBA III,11800,20480,23576,27000,30504,8
SUD-OUEST,KUPE-MANENGUBA,TINTO,0,0,0,0,0,1
SUD-OUEST,KUPE-MANENGUBA,TOKO,1112,968,1112,1280,1440,8
SUD-OUEST,KUPE-MANENGUBA,TOMBEL,21304,18480,21272,24360,27512,8
SUD-OUEST,LEBIALEM,ALOU,53581,46486,53526,61303,69245,11
SUD-OUEST,LEBIALEM,BABADJOU,2400,2080,2394,2740,3096,2
SUD-OUEST,LEBIALEM,BALI,9075,7875,9070,10390,11735,5
SUD-OUEST,LEBIALEM,BATCHAM,979,848,975,1117,1261,1
SUD-OUEST,LEBIALEM,BATIBO,14994,13005,14967,17145,19368,9
SUD-OUEST,LEBIALEM,FONGO-TONGO,0,0,0,0,0,23
SUD-OUEST,LEBIALEM,MENJI,0,0,0,0,0,20
SUD-OUEST,LEBIALEM,NKONG-ZEM,0,0,0,0,0,2
SUD-OUEST,LEBIALEM,SANTA,6634,5756,6626,7588,8572,2
SUD-OUEST,LEBIALEM,TINTO,0,0,0,0,0,19
SUD-OUEST,LEBIALEM,WABANE,57050,49525,57000,65300,73775,25
SUD-OUEST,MANYU,AKWAYA,59122,51291,59081,67691,76465,41
SUD-OUEST,MANYU,EYUMODJOCK,46436,40280,46360,53086,60002,38
SUD-OUEST,MANYU,MAMFE,0,0,0,0,0,65
SUD-OUEST,MANYU,TINTO,0,0,0,0,0,18
SUD-OUEST,MANYU,TOKO,278,242,278,320,360,2
SUD-OUEST,MANYU,WIDIKUM-BOFFÃ©,0,0,0,0,0,3
SUD-OUEST,MEME,BAMUSSO,4424,3840,4420,5064,5720,4
SUD-OUEST,MEME,DIKOME-BALUE,0,0,0,0,0,21
SUD-OUEST,MEME,EKONDO-TITI,31776,27564,31734,36352,41066,11
SUD-OUEST,MEME,KONYE,31993,27738,31947,36593,42230,23
SUD-OUEST,MEME,KUMBA I,101730,176463,203169,232719,262854,30
SUD-OUEST,MEME,KUMBA II,88328,153265,176466,202112,235591,16
SUD-OUEST,MEME,KUMBA III,52832,91650,105534,120874,136539,13
SUD-OUEST,MEME,MBANGA,23226,20154,23202,26574,30018,6
SUD-OUEST,MEME,MBONGE,107342,93104,107186,122763,138692,20
SUD-OUEST,MEME,MOMBO,2754,2388,2748,3144,3552,6
SUD-OUEST,NDIAN,BAMUSSO,12166,10560,12155,13926,15730,11
SUD-OUEST,NDIAN,DIKOME-BALUE,0,0,0,0,0,12
SUD-OUEST,NDIAN,EKONDO-TITI,52629,45652,52559,60208,68016,18
SUD-OUEST,NDIAN,EYUMODJOCK,7332,6360,7320,8382,9474,6
SUD-OUEST,NDIAN,IDABATO,5187,4484,5149,5909,6688,19
SUD-OUEST,NDIAN,ISANGUELE,0,0,0,0,0,15
SUD-OUEST,NDIAN,KOMBO-ABEDIMO,0,0,0,0,0,14
SUD-OUEST,NDIAN,KOMBO-ITINDI,0,0,0,0,0,18
SUD-OUEST,NDIAN,KONYE,4173,3618,4167,4773,5391,3
SUD-OUEST,NDIAN,MUDEMBA,0,0,0,0,0,28
SUD-OUEST,NDIAN,TOKO,9174,7986,9174,10560,11971,66
